team1_name,home,won,count,overall_wp,diff
Atlanta Hawks,Y,0.6013667425968109,439,0.507411630558723,0.09395511203808793
Boston Celtics,Y,0.6523702031602708,443,0.5743243243243243,0.07804587883594649
Brooklyn Nets,Y,0.4423963133640553,434,0.3816091954022989,0.060787117961756454
Charlotte Hornets,Y,0.5150115473441108,433,0.4188722669735328,0.096139280370578
Chicago Bulls,Y,0.5863636363636363,440,0.5165336374002281,0.06982999896340825
Cleveland Cavaliers,Y,0.5477272727272727,440,0.4695752009184845,0.07815207180878825
Dallas Mavericks,Y,0.591324200913242,438,0.5257142857142857,0.06560991519895631
Denver Nuggets,Y,0.6810933940774487,439,0.5518814139110604,0.12921198016638835
Detroit Pistons,Y,0.5080459770114942,435,0.4057471264367816,0.10229885057471261
Golden State Warriors,Y,0.6704805491990846,437,0.5981630309988519,0.07231751820023269
Houston Rockets,Y,0.695852534562212,434,0.6082949308755761,0.0875576036866359
Indiana Pacers,Y,0.6659090909090909,440,0.5476190476190477,0.11829004329004322
Los Angeles Clippers,Y,0.6765375854214123,439,0.5824800910125142,0.0940574944088981
Los Angeles Lakers,Y,0.5535307517084282,439,0.47440273037542663,0.07912802133300162
Memphis Grizzlies,Y,0.6287015945330297,439,0.5285388127853882,0.10016278174764148
Miami Heat,Y,0.6823266219239373,447,0.602017937219731,0.08030868470420638
Milwaukee Bucks,Y,0.5842956120092379,433,0.5040276179516686,0.08026799405756924
Minnesota Timberwolves,Y,0.42626728110599077,434,0.35368663594470046,0.07258064516129031
New Orleans Pelicans,Y,0.5230414746543779,434,0.4412442396313364,0.08179723502304148
New York Knicks,Y,0.4589041095890411,438,0.3961187214611872,0.06278538812785389
Oklahoma City Thunder,Y,0.7258426966292135,445,0.6396396396396397,0.08620305698957387
Orlando Magic,Y,0.5172413793103449,435,0.43249427917620137,0.0847471001341435
Philadelphia 76ers,Y,0.5022727272727273,440,0.4088335220838052,0.09343920518892213
Phoenix Suns,Y,0.4645308924485126,437,0.4050632911392405,0.05946760130927209
Portland Trail Blazers,Y,0.6728110599078341,434,0.5517241379310345,0.1210869219767996
Sacramento Kings,Y,0.43187066974595845,433,0.3629032258064516,0.06896744393950682
San Antonio Spurs,Y,0.7995444191343963,439,0.6757369614512472,0.12380745768314916
Toronto Raptors,Y,0.6338672768878718,437,0.5579793340987371,0.07588794278913469
Utah Jazz,Y,0.6344827586206897,435,0.5321100917431193,0.1023726668775704
Washington Wizards,Y,0.5345622119815668,434,0.43498273878020716,0.09957947320135968
